protein	location	source(s)	uniprot_id
ENSG00000256500	Cytosol	HPA	
BVES	Plasma membrane	HPA;GO	
HSFY1	Cytosol	HPA	
ENSG00000285920	Nucleoplasm	HPA	
SOGA1	Cytosol	HPA	
H2AC18	Nucleoplasm	HPA	
CCDC153	Cytosol	HPA	
SSX4	Nucleoplasm	HPA	
ENSG00000288520	Cytosol	HPA	
FAM205A	Nucleoli	HPA	
ENSG00000274944	Nucleoplasm	HPA	
RNF165	Nucleoplasm	HPA	
C19orf54	Centrosome	HPA	
KIAA2026	Cytosol	HPA	
ENSG00000264668	Nucleoplasm	HPA	
ENSG00000285982	Mitochondria	HPA	
PPP1R32	Cytosol	HPA	
ENSG00000265118	Cytosol	HPA	
ENSG00000289346	Nucleoplasm	HPA	
ENSG00000288520	Nucleoli	HPA	
ENSG00000285458	Actin filaments	HPA	
ENSG00000251569	Cytosol	HPA	
ENSG00000285947	Nucleoplasm	HPA	
ENSG00000260836	Cytosol	HPA	
ENSG00000284292	Plasma membrane	HPA	
ZBED9	Nucleoplasm	HPA	
TMEM251	Plasma membrane	HPA	
ENSG00000173867	Nucleoplasm	HPA	
ENSG00000260836	Nucleoli	HPA	
RBMY1J	Nucleoplasm	HPA	
XAGE1B	Nucleoplasm	HPA	
ENSG00000285920	Nucleoli	HPA	
H3C4	Nucleoplasm	HPA	
ENSG00000285547	Nucleoplasm	HPA	
ENSG00000225528	Nucleoplasm	HPA	
SSX4	Nucleoli	HPA	
ENSG00000276345	Nucleoli	HPA	
C1orf68	Plasma membrane	HPA	
ENSG00000285947	Cytosol	HPA	
ENSG00000268643	Cytosol	HPA	
H2BC4	Nucleoplasm	HPA	
ENSG00000285130	Plasma membrane	HPA	
H3C7	Nucleoplasm	HPA	
H2AB2	Nucleoplasm	GO	
C1orf35	Plasma membrane	HPA	
FAM205A	Plasma membrane	HPA	
FAM90A24P	Nucleoplasm	HPA	
ENSG00000255835	Cytosol	HPA	
FAM90A13P	Nucleoplasm	HPA	
ENSG00000256500	Plasma membrane	HPA	
FAM90A15P	Nucleoplasm	HPA	
ENSG00000283886	Nucleoplasm	HPA	
FAM172A	Cytosol	HPA	
H2AC8	Nucleoplasm	HPA	
ENSG00000288520	Plasma membrane	HPA	
ENSG00000285304	Cytosol	HPA	
ZBED9	Nucleoli	HPA	
MAGEA9	Golgi apparatus	HPA	
ENSG00000284057	Nucleoplasm	HPA	
ENSG00000290317	Golgi apparatus	HPA	
ENSG00000272772	Nucleoplasm	HPA	
H2BC4	Cytosol	HPA	
ENSG00000289700	Nucleoplasm	HPA	
ENSG00000197991	Microtubules	HPA	
H3C8	Nucleoplasm	HPA	
PPP1R32	Plasma membrane	HPA	
ENSG00000286235	Cytosol	HPA	
ENSG00000265118	Plasma membrane	HPA	
H2BC10	Nucleoplasm	HPA;GO	
ENSG00000272980	Centrosome	HPA	
C9orf131	Mitochondria	HPA	
C18orf25	Cytosol	HPA	
IGBP1P2	Microtubules	HPA	
C4orf48	Cytosol	HPA	
H2BC6	Nucleoplasm	HPA	
DEFA1	Golgi apparatus	GO	
CLCA3P	Plasma membrane	GO	
ENSG00000283886	Cytosol	HPA	
ENSG00000284057	Cytosol	HPA	
FAM90A24P	Nucleoli	HPA	
SSX2B	Nucleoplasm	HPA	
FAM90A13P	Nucleoli	HPA	
RNF165	Plasma membrane	HPA	
FAM90A15P	Nucleoli	HPA	
ENSG00000289700	Cytosol	HPA	
C12orf40	Golgi apparatus	HPA	
ENSG00000289258	Actin filaments	HPA	
ENSG00000260836	Endoplasmic reticulum	HPA	
ENSG00000265118	Primary cilium	HPA	
METTL7B	Microtubules	HPA	
ENSG00000251569	Primary cilium	HPA	
FAM90A12P	Nucleoli	HPA	
ENSG00000285947	Plasma membrane	HPA	
ENSG00000255639	Mitochondria	HPA	
FAM90A3P	Nucleoplasm	HPA	
FAM104A	Cytosol	HPA	
TMEM199	Endoplasmic reticulum	GO	
ENSG00000285526	Plasma membrane	HPA	
C17orf97	Cytosol	HPA	
C12orf73	Centrosome	HPA	
KIAA1522	Nucleoplasm	HPA	
ENSG00000250424	Plasma membrane	HPA	
MAGEA9	Nucleoplasm	HPA	
ENSG00000290317	Nucleoplasm	HPA	
FAM90A20P	Nucleoli	HPA	
ENSG00000241690	Plasma membrane	HPA	
MRPS36	Mitochondria	HPA	
C6orf226	Nucleoplasm	HPA	
C17orf97	Nucleoli	HPA	
H2AC4	Nucleoplasm	HPA	
CCDC115	Plasma membrane	HPA	
C19orf54	Intermediate filaments	HPA	
ENSG00000257390	Nucleoplasm	HPA	
ENSG00000286165	Cytosol	HPA	
SSX2B	Nucleoli	HPA	
C17orf80	Cytosol	HPA	
ENSG00000280571	Nucleoplasm	HPA	
H3C6	Nucleoplasm	HPA	
ENSG00000198211	Primary cilium	HPA	
ENSG00000286268	Endoplasmic reticulum	HPA	
PRPF4B	Nucleoplasm	HPA	
ENSG00000289027	Endoplasmic reticulum	HPA	
ENSG00000285188	Microtubules	HPA	
ENSG00000258529	Endoplasmic reticulum	HPA	
ENSG00000258472	Plasma membrane	HPA	
H3C1	Nucleoplasm	HPA;GO	
ENSG00000269590	Nuclear membrane	HPA	
ENSG00000264668	Nucleoli	HPA	
CCDC103	Cytosol	HPA	
OR4M2-OT1	Centrosome	HPA	
C2orf50	Golgi apparatus	HPA	
C19orf33	Nucleoplasm	HPA	
TTC30A	Primary cilium	HPA	
C12orf73	Plasma membrane	HPA	
ENSG00000285827	Mitochondria	HPA	
ENSG00000285547	Cytosol	HPA	
H3C12	Nucleoplasm	HPA	
C10orf71	Mitochondria	HPA	
ENSG00000187186	Nucleoli	HPA	
