From
P28799-PRO_0000012697
P12643-PRO_0000033825
P05067-PRO_0000000098
P01042-PRO_0000006688
O15519-PRO_0000004678
P49768-PRO_0000025592
P00736-PRO_0000027579
P00451-PRO_0000002967
P05230-PRO_0000008908
P05814-PRO_0000004475
P12643-PRO_0000033824
Q99538-PRO_0000026502
Q06033-PRO_0000016530
Q9BXJ0-PRO_0000003535
O00602-PRO_0000009136
P23284-PRO_0000025479
Q9UBD9-PRO_0000015616
Q9GZX6-PRO_0000015383
O14672-PRO_0000029067
O75636-PRO_0000009142
P01308-PRO_0000015820
P05121-PRO_0000032499
P15941-PRO_0000317447
O00230-PRO_0000033156
P13236-PRO_0000005165
Q9NYY1-PRO_0000015381
id_A
P13501-PRO_0000005175
O00585-PRO_0000005220
P01019-PRO_0000032457
P01034-PRO_0000006639
O14788-PRO_0000034515
P28799-PRO_0000012701
P48061-PRO_0000005109
P14867-PRO_0000000428
P05156-PRO_0000027568
Q9UHD0-PRO_0000015379
P03951-PRO_0000027825
P20366-PRO_0000033530
P01213-PRO_0000306350
P49810-PRO_0000025603
P05067-PRO_0000000093
O43464-PRO_0000026946
P61278-PRO_0000033087
Q9Y2J2-PRO_0000423194
P06307-PRO_0000010542
P11226-PRO_0000017401
P05156-PRO_0000027569
P26022-PRO_0000023545
P03973-PRO_0000041355
P59665-PRO_0000006773
EBI
P05067-PRO_0000000091
Q6Q788-PRO_0000001981
P36956-PRO_0000314029
P10323-PRO_0000027518
Q8IU54-PRO_0000015511
P01303-PRO_0000025321
P28799-PRO_0000012698
P00742-PRO_0000027787
P01282-PRO_0000011460
Q9UK05-PRO_0000033903
P00751-PRO_0000027545
P05067-PRO_0000000088
Q13316-PRO_0000021110
P10451-PRO_0000020321
Q99731-PRO_0000005214
P22466-PRO_0000010449
Q9ULZ1-PRO_0000001760
P61769-PRO_0000018779
P28799-PRO_0000012695
P98160-PRO_0000391622
O75462-PRO_0000011039
P28300-PRO_0000018520
P01210-PRO_0000008243
P01375-PRO_0000034424
Q13519-PRO_0000008327
P01185-PRO_0000020515
P42574-PRO_0000004571
P01024-PRO_0000005908
P05067-PRO_0000000092
Q01344-PRO_0000010893
Q9BXR6-PRO_0000005900
P02749-PRO_0000002059
uniprot_A
P07996-PRO_0000035842
Q92673-PRO_0000033164
Q16740-PRO_0000005516
O00187-PRO_0000027598
P28799-PRO_0000012699
P00734-PRO_0000028160
P27918-PRO_0000035863
O43852-PRO_0000004153
P08887-PRO_0000450730
Q99217-PRO_0000001199
P02776-PRO_0000005068
Q3T906-PRO_0000225008
Q86SX6-PRO_0000141650
Q07021-PRO_0000018590
Q01523-PRO_0000417390
P02649-PRO_0000001987
P13500-PRO_0000005146
P46821-PRO_0000018605
P01138-PRO_0000019600
P48740-PRO_0000027592
P43026-PRO_0000033913
P46531-PRO_0000007676
Q9UHF0-PRO_0000033566
Q14790-PRO_0000004631
P01024-PRO_0000005915
P01024-PRO_0000005911
P50213-PRO_0000014436
P35070-PRO_0000007490
P28799-PRO_0000012696
P10071-PRO_0000406137
Q14790-PRO_0000004629
P36980-PRO_0000005897
P14555-PRO_0000022750
P05067-PRO_0000000089
Q15582-PRO_0000008769
O14793-PRO_0000033951
P28799-PRO_0000012700
P35318-PRO_0000000963
P03951-PRO_0000027826
Q6KF10-PRO_0000042253
P01133-PRO_0000007541
P19823-PRO_0000016518
P02741-PRO_0000023526
P05156-PRO_0000027570
P80098-PRO_0000005183
Q15078-PRO_0000004795
P01137-PRO_0000033762
P98160-PRO_0000391621
Q99523-PRO_0000033162
Q14118-PRO_0000021065
P08603-PRO_0000005894
P12644-PRO_0000033857
P28472-PRO_0000000462
P18075-PRO_0000033877
P03952-PRO_0000028021
P02810-PRO_0000022137
Q14118-PRO_0000021066
Q03591-PRO_0000005896
P22003-PRO_0000033867
P01008-PRO_0000032489
P08069-PRO_0000016682
Q03164-PRO_0000390950
Q9NQ76-PRO_0000021668
P01024-PRO_0000005912
P35247-PRO_0000017465
Q15485-PRO_0000009139
P01588-PRO_0000008401
Q9BUF7-PRO_0000021005
Q9ULZ1-PRO_0000001763
uniprot_B
O14625-PRO_0000005106
id_B
P49768-PRO_0000025591
Q15382-PRO_0000082708
P00736-PRO_0000027578
P01138-PRO_0000019599
P19827-PRO_0000016507
Q92743-PRO_0000026943
P10911-PRO_0000030434
Q15828-PRO_0000006648
P02776-PRO_0000351217
P01042-PRO_0000006687
P61278-PRO_0000033088
P20366-PRO_0000033534
Q99757-PRO_0000034150
P30990-PRO_0000019524
P42574-PRO_0000004572
Q9BYF1-PRO_0000292268
Q9BWP8-PRO_0000315044
Q12805-PRO_0000007570
Q15078-PRO_0000004794
P01024-PRO_0000005913
P01024-PRO_0000273948
P01019-PRO_0000032458
P02751-PRO_0000390479
P52948-PRO_0000019930
P00451-PRO_0000002968
Q9Y4X3-PRO_0000005239
Q99523-PRO_0000033163
P49913-PRO_0000004724
Q00653-PRO_0000030322
Q9UBU3-PRO_0000019202
Q9UQF0-PRO_0000008486
P36222-PRO_0000011965
P19838-PRO_0000030311
Q03164-PRO_0000390949
O14793-PRO_0000033950
P01019-PRO_0000032459
P29466-PRO_0000004522
P02787-PRO_0000035715
Q9Y6Z7-PRO_0000314233
P39060-PRO_0000005794
Q969J5-PRO_0000011016
P05067-PRO_0000000090
P39905-PRO_0000034005
