protein	location	source(s)	uniprot_id
ATF7-NPFF	cytosol	HPA	
ENSG00000241690	plasmamembrane	HPA	
NT5C1B-RDH14	plasmamembrane	HPA	
GCOM1	nucleoplasm	HPA	
ENSG00000257390	nucleoplasm	HPA	
RPL17-C18orf32	cytosol	HPA	
ENSG00000286165	cytosol	HPA	
ENSG00000280571	nucleoplasm	HPA	
ENSG00000198211	primarycilium	HPA	
ENSG00000286268	endoplasmicreticulum	HPA	
PRPF4B	nucleoplasm	HPA	
IGKV3OR2-268	plasmamembrane	HPA	
BORCS8-MEF2B	nucleoplasm	HPA	
ENSG00000289027	endoplasmicreticulum	HPA	
ENSG00000285188	microtubules	HPA	
ENSG00000258529	endoplasmicreticulum	HPA	
ENSG00000258472	plasmamembrane	HPA	
ENSG00000269590	nuclearmembrane	HPA	
DUS4L-BCAP29	cytosol	HPA	
ENSG00000264668	nucleoli	HPA	
OR4M2-OT1	centrosome	HPA	
STIMATE-MUSTN1	cytosol	HPA	
BIVM-ERCC5	nucleoplasm	HPA	
PEDS1-UBE2V1	nucleoplasm	HPA	
ENSG00000285827	mitochondria	HPA	
ENSG00000285547	cytosol	HPA	
ENSG00000187186	nucleoli	HPA	
RBM14-RBM4	nucleoplasm	HPA	
ENSG00000280571	centrosome	HPA	
RPL36A-HNRNPH2	cytosol	HPA	
STON1-GTF2A1L	cytosol	HPA	
ENSG00000225528	nucleoli	HPA	
ENSG00000282218	golgiapparatus	HPA	
ENSG00000288637	centrosome	HPA	
ENSG00000272772	cytosol	HPA	
ENSG00000290315	cytosol	HPA	
ENSG00000264668	plasmamembrane	HPA	
ENSG00000260914	microtubules	HPA	
RPL17-C18orf32	endoplasmicreticulum	HPA	
ENSG00000144785	nucleoplasm	HPA	
ENSG00000285982	nucleoplasm	HPA	
ENSG00000273217	centrosome	HPA	
ENSG00000285188	cytosol	HPA	
ENSG00000285625	cytosol	HPA	
ENSG00000251537	cytosol	HPA	
ENSG00000282988	nucleoplasm	HPA	
ENSG00000285188	centrosome	HPA	
TCAF2C	plasmamembrane	HPA	
ENSG00000269035	nuclearmembrane	HPA	
ENSG00000285458	cytosol	HPA	
RPL36A-HNRNPH2	plasmamembrane	HPA	
ENSG00000144785	centrosome	HPA	
RPL36A-HNRNPH2	endoplasmicreticulum	HPA	
GIMAP1-GIMAP5	endoplasmicreticulum	HPA	
ENSG00000285708	nucleoplasm	HPA	
ENSG00000272980	primarycilium	HPA	
ENSG00000277535	nucleoli	HPA	
ENSG00000256514	centrosome	HPA	
ENSG00000257390	cytosol	HPA	
ENSG00000275869	centrosome	HPA	
