protein	location	source(s)
TBL3	Nucleoli	HPA
CHAC2	Cytosol	HPA;GO
ITPKA	Cytosol	GO
C11orf71	Nucleoplasm	HPA
SLC13A1	Plasma membrane	GO
GAA	Plasma membrane	GO
QARS1	Mitochondria	GO
ANXA5	Cytosol	GO
ATP1B2	Plasma membrane	GO
NRTN	Golgi apparatus	HPA
ANKRD28	Cytosol	GO
RPS17	Cytosol	HPA;GO
PDCL	Nucleoplasm	HPA
TNFSF14	Plasma membrane	GO
RIOK3	Golgi apparatus	HPA
CD14	Golgi apparatus	GO
DCLK1	Cytosol	HPA
NINJ2	Plasma membrane	HPA
CDKL5	Centrosome	GO
CLDN8	Endoplasmic reticulum	GO
SEPTIN2	Plasma membrane	HPA
CDK5RAP3	Cytosol	HPA
RPS16	Endoplasmic reticulum	HPA
SPANXD	Nucleoplasm	HPA
TSPYL1	Nucleoli	HPA
EPHB2	Cytosol	GO
ZNF10	Plasma membrane	HPA
CMTM3	Nucleoplasm	HPA
PVRIG	Plasma membrane	GO
MAPRE2	Actin filaments	GO
AXDND1	Cytosol	HPA
CAB39	Cytosol	GO
VAMP7	Golgi apparatus	GO
PPM1F	Plasma membrane	HPA
FGA	Endoplasmic reticulum	HPA;GO
GALNT10	Nucleoplasm	HPA
PRPF40B	Cytosol	HPA
MYL4	Cytosol	GO
CCDC71	Nuclear membrane	HPA
ENSG00000283149	Endoplasmic reticulum	HPA
SHB	Nucleoplasm	HPA
TIRAP	Microtubules	HPA
ARHGAP39	Cytosol	GO
IL12RB1	Plasma membrane	HPA;GO
RNF32	Cytosol	HPA
LZTS2	Cytosol	HPA
FAM133A	Nucleoli	HPA
ZNF354B	Nucleoplasm	HPA
SLC33A1	Endoplasmic reticulum	GO
RAB11FIP5	Mitochondria	GO
ABCB8	Nucleoplasm	HPA
ADAMTSL4	Plasma membrane	HPA
VSTM4	Nucleoplasm	HPA
BFSP1	Cytosol	HPA
MKRN3	Plasma membrane	HPA
DOLK	Nucleoplasm	HPA
RPL6	Actin filaments	GO
SYNE1	Plasma membrane	GO
RRP8	Cytosol	HPA
TAS2R5	Nucleoli	HPA
DAB2	Cytosol	GO
RARA	Plasma membrane	GO
INPP5J	Nucleoli	HPA
RGS9BP	Plasma membrane	HPA
TRIB2	Cytosol	HPA
SH3PXD2A	Actin filaments	GO
DCTN5	Centrosome	GO
CAPNS1	Nucleoplasm	HPA
SNRPD3	Nucleoplasm	HPA;GO
VSIG2	Nucleoplasm	HPA
KRT7	Intermediate filaments	HPA
FBXO25	Nucleoli	GO
PRR32	Centrosome	HPA
RNF26	Endoplasmic reticulum	GO
SLC39A9	Mitochondria	GO
CRAMP1	Cytosol	HPA
PRKACB	Cytosol	HPA;GO
CHODL	Cytosol	HPA
PKN1	Nucleoplasm	GO
LMBRD1	Endoplasmic reticulum	GO
KLF11	Actin filaments	HPA
EPHX2	Cytosol	HPA;GO
TAOK1	Microtubules	GO
GLIS3	Nucleoplasm	HPA
STRN3	Nucleoplasm	GO
CAVIN4	Nucleoplasm	HPA
TM4SF4	Plasma membrane	HPA
MAP2K2	Cytosol	HPA;GO
UEVLD	Nucleoplasm	HPA
PLRG1	Nuclear membrane	HPA
FEM1A	Golgi apparatus	HPA
NGF	Cytosol	GO
FBXO34	Nucleoplasm	HPA
FGFR2	Nucleoplasm	HPA
ADIPOR2	Plasma membrane	GO
ASCC1	Cytosol	HPA
DBF4	Nucleoplasm	HPA;GO
SLC9B2	Mitochondria	GO
SH3BP5	Nucleoplasm	HPA
YPEL5	Nucleoplasm	HPA
CTNNA1	Actin filaments	GO
NOP2	Nucleoplasm	GO
SCAF4	Nucleoplasm	HPA
FRMD7	Cytosol	HPA
SPIN1	Nucleoli	GO
KDM5C	Cytosol	HPA
PXK	Centrosome	HPA
ESCO1	Nucleoplasm	GO
ALPK3	Nucleoplasm	HPA
FGG	Endoplasmic reticulum	HPA;GO
MTHFS	Cytosol	HPA;GO
NPHP1	Primary cilium	GO
COPS5	Plasma membrane	GO
ATXN7	Nucleoplasm	HPA;GO
CSNK1A1	Centrosome	GO
ADAM23	Plasma membrane	GO
NEU2	Cytosol	GO
RRP12	Plasma membrane	HPA
CCN4	Cytosol	HPA
FPR1	Nucleoli	HPA
IMPA2	Nucleoplasm	HPA
PIK3CD	Microtubules	HPA
DUT	Nucleoplasm	HPA;GO
S100B	Microtubules	HPA
FBF1	Plasma membrane	GO
DHPS	Nucleoplasm	HPA
GDF9	Cytosol	HPA
RTN1	Golgi apparatus	GO
CAMSAP3	Centrosome	GO
FCGBP	Microtubules	HPA
TMPPE	Mitochondria	HPA
TRIM8	Cytosol	HPA;GO
GALNT14	Nucleoplasm	HPA
IL32	Cytosol	GO
HSPG2	Actin filaments	GO
TCF20	Nucleoplasm	HPA
TMEM254	Nucleoplasm	HPA
TREML4	Plasma membrane	HPA;GO
RBP2	Golgi apparatus	HPA
ALPL	Cytosol	HPA
NCOR1	Cytosol	HPA
KANSL3	Mitochondria	GO
RCAN1	Cytosol	HPA
RPL38	Cytosol	HPA;GO
PACRG	Microtubules	GO
GSTM5	Microtubules	HPA
CEMIP2	Cytosol	HPA
OR56A4	Plasma membrane	GO
TSPY2	Cytosol	HPA
DOLPP1	Endoplasmic reticulum	GO
STAB1	Plasma membrane	HPA;GO
CDA	Cytosol	GO
DDX23	Nucleoli	HPA
CLIC1	Cytosol	HPA
CDH3	Plasma membrane	HPA;GO
ELP3	Cytosol	HPA
RNF34	Plasma membrane	GO
EMC3	Endoplasmic reticulum	GO
HDAC4	Nucleoplasm	HPA;GO
CHRNA5	Plasma membrane	HPA;GO
MR1	Plasma membrane	HPA;GO
MSTO1	Cytosol	HPA
PDGFRB	Golgi apparatus	HPA
ZBTB6	Mitochondria	HPA
IRS1	Cytosol	HPA;GO
PHKB	Golgi apparatus	HPA
PPP2R1A	Plasma membrane	GO
TNFRSF4	Plasma membrane	GO
MCCC2	Cytosol	GO
LRCH3	Cytosol	HPA
RPL7	Plasma membrane	GO
FYB1	Actin filaments	GO
SLCO5A1	Plasma membrane	HPA;GO
PSMD13	Nucleoplasm	HPA;GO
TMEM53	Golgi apparatus	HPA
AGR3	Endoplasmic reticulum	HPA
ZSCAN18	Cytosol	HPA
YWHAH	Cytosol	GO
ATG13	Nucleoplasm	HPA
CSNK1D	Microtubules	GO
CARMIL2	Plasma membrane	GO
CDCA7	Nucleoplasm	HPA
UBE3C	Cytosol	HPA
STK32B	Cytosol	HPA
YKT6	Plasma membrane	GO
DPCD	Nucleoplasm	HPA
ATP2B4	Plasma membrane	HPA;GO
ERG	Nucleoplasm	HPA
CAPN15	Nucleoplasm	HPA
GOLPH3L	Golgi apparatus	HPA;GO
INPP5K	Plasma membrane	GO
SEL1L2	Primary cilium	GO
NMNAT1	Nucleoplasm	HPA;GO
NSD2	Nucleoli	HPA
MTG1	Mitochondria	HPA;GO
CT45A3	Nucleoplasm	HPA
NUDT3	Cytosol	HPA;GO
UGT3A1	Cytosol	HPA
CLEC12B	Plasma membrane	GO
SUFU	Nucleoplasm	HPA
STK11	Centrosome	HPA
ZNF250	Cytosol	HPA
DHDH	Nucleoplasm	HPA
SLC26A8	Primary cilium	GO
HTR3A	Plasma membrane	GO
RFX2	Nucleoplasm	HPA
NPTXR	Nucleoplasm	HPA
PREX1	Cytosol	HPA;GO
RNF146	Nucleoplasm	HPA
CEP164	Nucleoplasm	HPA
GPBAR1	Plasma membrane	GO
TNFAIP8	Nucleoplasm	HPA
MARCHF6-DT	Nucleoli	GO
TOMM34	Cytosol	HPA
ABCE1	Mitochondria	GO
PLXNB2	Plasma membrane	GO
CRLF1	Cytosol	GO
CLIP3	Plasma membrane	GO
THOC3	Nucleoplasm	HPA;GO
F11R	Microtubules	HPA
RPP25L	Nucleoplasm	HPA
PRICKLE1	Cytosol	HPA;GO
PVALB	Nucleoli	HPA
ASH1L	Nucleoplasm	HPA;GO
DEF8	Cytosol	HPA
CAPN2	Actin filaments	GO
RC3H1	Plasma membrane	HPA
FAM135A	Cytosol	HPA
SOX2	Nucleoplasm	HPA;GO
PLP2	Plasma membrane	GO
SV2B	Plasma membrane	GO
TMEM230	Endoplasmic reticulum	HPA
LCP1	Plasma membrane	HPA;GO
DAPK3	Nucleoplasm	HPA;GO
FBXO27	Cytosol	GO
LRRC7	Cytosol	HPA;GO
SULT1C3	Cytosol	HPA
PARVA	Plasma membrane	GO
AP1B1	Golgi apparatus	HPA;GO
ENSG00000282278	Nucleoplasm	HPA
ARID4A	Nucleoplasm	HPA;GO
OR3A1	Plasma membrane	GO
GORASP2	Endoplasmic reticulum	GO
PCDHGA3	Plasma membrane	HPA
COPG2	Cytosol	GO
SEC22B	Endoplasmic reticulum	GO
TMEM187	Cytosol	HPA
ME3	Mitochondria	GO
TSGA13	Plasma membrane	HPA
PCDHGA2	Plasma membrane	HPA
TMEM151A	Nucleoli	HPA
ARHGAP23	Nucleoplasm	HPA
ARHGEF10L	Golgi apparatus	HPA
CCAR2	Nucleoplasm	HPA;GO
MSMP	Cytosol	HPA
NAA30	Cytosol	HPA
SEPTIN9	Primary cilium	HPA;GO
DDX21	Nucleoli	HPA;GO
ARHGEF15	Plasma membrane	HPA
SRSF4	Nucleoplasm	HPA;GO
NUMA1	Cytosol	HPA;GO
DCUN1D1	Nucleoplasm	HPA
SLC35G1	Endoplasmic reticulum	GO
GNAI2	Microtubules	GO
FOXN4	Nucleoplasm	HPA
DARS1	Cytosol	HPA;GO
FBXO11	Cytosol	GO
ME2	Mitochondria	HPA;GO
FKBP6	Nucleoli	HPA
PSMB3	Cytosol	GO
OR10G3	Plasma membrane	GO
TSPAN4	Plasma membrane	GO
RAP1A	Plasma membrane	GO
RBL2	Nucleoli	HPA
SEPTIN4	Cytosol	GO
SC5D	Cytosol	HPA
JPH3	Nucleoplasm	HPA
MKI67	Nucleoplasm	HPA;GO
PSAT1	Cytosol	HPA;GO
NRP2	Plasma membrane	HPA;GO
TSEN2	Centrosome	HPA
GOLGA1	Cytosol	GO
C9orf153	Nucleoplasm	HPA
TSSK3	Nucleoplasm	HPA
ZHX1	Nucleoplasm	HPA
USP30	Mitochondria	GO
TXNDC5	Endoplasmic reticulum	HPA;GO
INKA1	Nucleoplasm	HPA
KRBA1	Nucleoplasm	HPA
KCNE2	Plasma membrane	GO
CATSPERG	Plasma membrane	GO
CILK1	Golgi apparatus	HPA
TSR2	Cytosol	HPA
LHB	Golgi apparatus	GO
NCSTN	Golgi apparatus	GO
ESYT2	Plasma membrane	HPA;GO
ECI1	Mitochondria	HPA;GO
PRC1	Microtubules	HPA;GO
RGS12	Plasma membrane	GO
SCUBE1	Plasma membrane	GO
PRRT3	Nucleoplasm	HPA
PIK3C2B	Plasma membrane	GO
CELF3	Nucleoplasm	HPA
TIFA	Nucleoplasm	HPA
ERC1	Primary cilium	GO
USP36	Nucleoplasm	HPA
ABHD4	Nucleoplasm	HPA
CWC15	Nucleoplasm	HPA;GO
RPUSD1	Cytosol	HPA
MMD	Golgi apparatus	GO
THAP4	Cytosol	HPA
EGFR	Golgi apparatus	HPA
NDUFC2-KCTD14	Mitochondria	HPA
EFHC1	Primary cilium	GO
KLHDC7A	Nucleoplasm	HPA
BCAS4	Cytosol	HPA
STAT1	Cytosol	HPA;GO
TEKT3	Primary cilium	GO
SOGA1	Nucleoli	HPA
ITGAV	Plasma membrane	GO
RTKN	Nucleoplasm	HPA
METTL16	Cytosol	HPA
HPN	Plasma membrane	GO
HMGA1	Nucleoplasm	HPA;GO
MAPT	Plasma membrane	HPA;GO
CDK10	Primary cilium	GO
MKS1	Primary cilium	HPA;GO
ZBTB20	Nucleoplasm	HPA
APBB3	Nucleoplasm	HPA
NOXO1	Plasma membrane	GO
SDE2	Plasma membrane	HPA
FER1L6	Cytosol	HPA
PEX7	Nucleoplasm	HPA
C12orf60	Plasma membrane	HPA
SLIRP	Mitochondria	HPA;GO
HABP4	Cytosol	HPA;GO
ARHGEF28	Cytosol	HPA;GO
HECW2	Microtubules	GO
GOLGA8B	Cytosol	HPA
IGFBP4	Endoplasmic reticulum	GO
MROH8	Cytosol	HPA
KIF5A	Nucleoplasm	HPA
KAT8	Mitochondria	GO
ITSN2	Cytosol	GO
OSBPL10	Cytosol	GO
SHTN1	Nucleoplasm	HPA
HP1BP3	Nucleoplasm	HPA;GO
RBM47	Cytosol	HPA
SEC24C	Cytosol	GO
TSPAN33	Plasma membrane	GO
KLKB1	Plasma membrane	GO
PSMB10	Cytosol	HPA;GO
CUEDC1	Plasma membrane	HPA
PIDD1	Golgi apparatus	HPA
MT-RNR1	Mitochondria	GO
COPB2	Cytosol	GO
AREG	Mitochondria	HPA
MEP1B	Plasma membrane	GO
TFF3	Nucleoli	HPA
DCDC2C	Primary cilium	GO
SLC8B1	Mitochondria	GO
COIL	Nucleoli	HPA;GO
HSD3B1	Endoplasmic reticulum	HPA;GO
LYST	Centrosome	HPA
ZNF438	Nucleoplasm	HPA
ERLIN2	Plasma membrane	GO
NUDT18	Cytosol	GO
CA9	Plasma membrane	HPA;GO
DPPA4	Nucleoli	HPA
NUP85	Actin filaments	HPA
OTOP2	Plasma membrane	HPA
NPIPB7	Nucleoplasm	HPA
TSNARE1	Cytosol	HPA
CA7	Cytosol	HPA;GO
CLIC4	Mitochondria	GO
NFE2L2	Centrosome	HPA
PPP1R14A	Cytosol	GO
JUP	Plasma membrane	HPA;GO
SSR1	Endoplasmic reticulum	HPA;GO
CYB5B	Mitochondria	GO
KIFAP3	Microtubules	HPA;GO
AP2B1	Plasma membrane	GO
B3GNT5	Golgi apparatus	GO
TCL1B	Cytosol	HPA
UBE3B	Nucleoplasm	HPA
FBXO16	Cytosol	HPA
UMPS	Cytosol	HPA;GO
CHRDL1	Endoplasmic reticulum	GO
NPY1R	Plasma membrane	GO
RPS27L	Nucleoli	HPA
ALPK1	Cytosol	GO
FAM199X	Golgi apparatus	HPA
SSX4B	Nucleoli	HPA
HSPA4L	Cytosol	HPA;GO
SERPINB13	Nucleoli	GO
IK	Nucleoplasm	HPA;GO
INHA	Golgi apparatus	HPA
WDFY1	Golgi apparatus	HPA
FAM136A	Mitochondria	HPA
TBPL1	Nucleoplasm	HPA
SEC11A	Nuclear membrane	HPA
TGM2	Actin filaments	GO
HCLS1	Plasma membrane	HPA
MBOAT2	Endoplasmic reticulum	GO
DIAPH1	Microtubules	GO
WDR11	Primary cilium	HPA;GO
ACER3	Golgi apparatus	GO
RPL26L1	Endoplasmic reticulum	HPA
TBRG4	Mitochondria	HPA;GO
POFUT2	Endoplasmic reticulum	GO
JAGN1	Endoplasmic reticulum	GO
AAMDC	Nucleoplasm	HPA
MPI	Plasma membrane	HPA
BRCA2	Nucleoplasm	HPA;GO
OLFML2A	Nucleoplasm	HPA
PSTPIP1	Plasma membrane	HPA
DVL3	Cytosol	GO
EPHA3	Nuclear membrane	HPA
KIF26B	Primary cilium	HPA
RPS18	Plasma membrane	GO
SULT1A1	Cytosol	GO
CENPU	Cytosol	GO
DLST	Nucleoplasm	HPA
SDC2	Plasma membrane	HPA;GO
CRTC1	Plasma membrane	HPA
QRICH2	Primary cilium	GO
GSTA1	Cytosol	HPA;GO
STK38	Cytosol	HPA
ZFYVE9	Cytosol	HPA
KRT73	Cytosol	GO
CABYR	Nucleoplasm	HPA
RUNX2	Cytosol	GO
VCL	Cytosol	GO
PHOX2B	Nucleoplasm	HPA;GO
ADAM17	Golgi apparatus	GO
GNG12	Mitochondria	HPA
THAP8	Nucleoplasm	HPA
PDLIM1	Actin filaments	HPA;GO
SH3RF1	Cytosol	GO
OSER1	Nucleoli	HPA
ZNF655	Nucleoli	GO
SELENOS	Microtubules	GO
KCNK6	Cytosol	HPA
RAB11FIP3	Plasma membrane	GO
KCTD9	Intermediate filaments	HPA
ARHGAP21	Cytosol	GO
POLR2M	Nucleoplasm	HPA
CLIC5	Plasma membrane	HPA
PAF1	Nucleoli	HPA
ASCC2	Actin filaments	HPA
PCLAF	Nucleoplasm	GO
SELENOH	Nucleoplasm	HPA
CDK2AP2	Nucleoplasm	HPA;GO
CTU1	Cytosol	HPA;GO
CDADC1	Nucleoplasm	HPA
CDK14	Nucleoplasm	HPA
AFDN	Plasma membrane	HPA;GO
NLRP10	Cytosol	HPA
RRM2	Nucleoplasm	HPA
GINS4	Centrosome	HPA
SLC25A10	Mitochondria	HPA;GO
CST3	Plasma membrane	GO
FEZF2	Centrosome	HPA
GUCY1A1	Nucleoplasm	HPA
SYTL2	Plasma membrane	HPA;GO
REV3L	Nucleoplasm	HPA;GO
NAB1	Plasma membrane	HPA
CMTM7	Plasma membrane	HPA
PCSK7	Golgi apparatus	GO
PPP1R13L	Cytosol	HPA
ZCCHC24	Nucleoplasm	HPA
TNIP3	Plasma membrane	HPA
IL12RB2	Plasma membrane	HPA;GO
MYLK4	Nucleoli	HPA
TBC1D10C	Nucleoplasm	HPA
ZNF773	Nucleoplasm	HPA
ALMS1	Cytosol	HPA;GO
PRKRA	Nucleoplasm	HPA
CNN3	Plasma membrane	GO
OR2J3	Plasma membrane	GO
PSME4	Nucleoplasm	HPA
RIMKLB	Centrosome	HPA
MRPL15	Mitochondria	HPA;GO
PPM1D	Nucleoplasm	HPA;GO
MAP3K14	Cytosol	HPA;GO
TTK	Nucleoli	HPA
ZNF580	Nucleoplasm	HPA
CRCP	Cytosol	GO
NMUR1	Plasma membrane	GO
DDB1	Nucleoplasm	HPA;GO
NQO1	Cytosol	HPA;GO
SLC25A51	Mitochondria	HPA;GO
THTPA	Cytosol	GO
OR14J1	Plasma membrane	GO
NOS2	Nucleoplasm	GO
ACKR2	Nucleoplasm	HPA
ATP13A3	Cytosol	HPA
SLA2	Nucleoplasm	HPA
ATP7A	Endoplasmic reticulum	GO
KRTAP6-1	Cytosol	GO
AMBRA1	Cytosol	GO
FCGR3A	Plasma membrane	GO
ENSG00000285188	Primary cilium	HPA
RAB37	Plasma membrane	GO
KRTAP25-1	Cytosol	HPA;GO
RPL10	Endoplasmic reticulum	HPA
MSRB1	Nucleoplasm	HPA
AFF1	Nucleoplasm	HPA;GO
NRSN2	Cytosol	HPA
WEE2	Nucleoplasm	HPA
KPTN	Actin filaments	GO
RNF8	Cytosol	HPA
ETNPPL	Nucleoplasm	HPA
PLD1	Plasma membrane	HPA;GO
OGG1	Nucleoplasm	HPA;GO
P2RX5	Plasma membrane	HPA;GO
MRM1	Mitochondria	HPA;GO
RRAGA	Golgi apparatus	HPA
CYP3A5	Cytosol	HPA
CYP4Z1	Endoplasmic reticulum	GO
DAB2IP	Plasma membrane	GO
PLIN2	Plasma membrane	GO
MTCH2	Mitochondria	HPA;GO
ALDH18A1	Mitochondria	HPA;GO
SPTLC2	Endoplasmic reticulum	GO
ZNF322	Centrosome	HPA
CCDC117	Cytosol	HPA
PRKCA	Cytosol	HPA;GO
GNA13	Actin filaments	GO
BTBD9	Nucleoplasm	HPA
EEF1B2	Endoplasmic reticulum	GO
NLRP2	Cytosol	HPA
RNF111	Cytosol	HPA
TIMP3	Golgi apparatus	HPA
ARL1	Golgi apparatus	HPA;GO
TFEC	Nucleoplasm	HPA
CDHR2	Plasma membrane	GO
RPS6KA1	Cytosol	HPA;GO
PIK3CB	Nucleoli	HPA
ENSG00000286112	Cytosol	HPA
TGIF1	Nucleoplasm	HPA;GO
KCNAB2	Plasma membrane	GO
RBM17	Nucleoplasm	HPA;GO
MAPKAPK3	Cytosol	GO
PUM3	Nucleoli	HPA;GO
FKBP5	Nucleoplasm	HPA
RAB6B	Golgi apparatus	HPA;GO
MACF1	Plasma membrane	HPA;GO
RHOV	Plasma membrane	GO
PLA2R1	Plasma membrane	GO
POLE4	Cytosol	HPA
KNTC1	Nucleoplasm	GO
TMC8	Golgi apparatus	GO
GSTA5	Cytosol	HPA
H1-4	Nucleoplasm	HPA;GO
POU3F4	Nucleoplasm	HPA
SFMBT1	Nucleoplasm	HPA
GSR	Mitochondria	GO
CAND1	Cytosol	HPA;GO
GRM3	Plasma membrane	GO
SENP5	Nucleoplasm	GO
NUFIP1	Nucleoli	HPA;GO
LRIG1	Plasma membrane	GO
VAV3	Plasma membrane	GO
NEK2	Cytosol	GO
VPS37A	Nucleoplasm	HPA
MAFB	Nucleoli	HPA
NUMB	Plasma membrane	HPA;GO
CAMK4	Nucleoli	HPA
RFXANK	Nucleoplasm	HPA
ZC3H3	Nucleoplasm	HPA
CRHBP	Golgi apparatus	GO
SYNJ1	Cytosol	HPA;GO
NOTCH3	Endoplasmic reticulum	GO
RPS11	Nucleoli	HPA;GO
TXNRD3	Nucleoplasm	HPA
CMTM4	Golgi apparatus	HPA
FBXL12	Mitochondria	HPA
PPIL4	Nucleoplasm	HPA;GO
TFAP2B	Nucleoplasm	HPA;GO
BBS7	Primary cilium	GO
RPL29	Cytosol	HPA;GO
S100A9	Intermediate filaments	HPA
SPAG11A	Golgi apparatus	HPA
LRRC63	Golgi apparatus	HPA
WDR90	Primary cilium	HPA
GYPA	Plasma membrane	HPA;GO
SLC4A3	Nucleoplasm	HPA
BAIAP2L1	Plasma membrane	HPA;GO
IL4I1	Plasma membrane	GO
ARL4C	Plasma membrane	HPA;GO
ATP6V1A	Nucleoplasm	HPA
MTSS2	Actin filaments	HPA
NAA20	Cytosol	HPA
BMP4	Endoplasmic reticulum	GO
KCTD5	Cytosol	GO
BLTP3A	Nucleoplasm	HPA
RBBP5	Nucleoli	HPA
MT-CO3	Mitochondria	GO
SNTG2	Plasma membrane	HPA
PLEKHA3	Golgi apparatus	HPA;GO
SEC11C	Nuclear membrane	HPA
ENSG00000268643	Nucleoplasm	HPA
QRSL1	Mitochondria	GO
CFAP298	Centrosome	HPA
ESF1	Nucleoplasm	HPA
KRBOX5	Cytosol	HPA
IFRD2	Nucleoplasm	HPA
TNK2	Plasma membrane	HPA;GO
CYLD	Primary cilium	HPA
GABRR2	Plasma membrane	GO
RPS12	Golgi apparatus	HPA
PDCD6IP	Actin filaments	GO
UNC93B1	Golgi apparatus	GO
ZNF496	Cytosol	HPA
CRMP1	Microtubules	GO
HMMR	Cytosol	HPA;GO
PIN1	Cytosol	HPA;GO
PDE8B	Cytosol	HPA;GO
KCNS3	Golgi apparatus	HPA
CCDC65	Primary cilium	HPA;GO
S100A4	Nucleoplasm	HPA
CD55	Golgi apparatus	GO
THBD	Plasma membrane	GO
CCN6	Mitochondria	HPA;GO
OGFRL1	Golgi apparatus	HPA
RPL10A	Nucleoli	HPA
WIPI1	Cytosol	HPA;GO
CD40	Plasma membrane	HPA;GO
PDCD4	Nucleoplasm	HPA
RHOC	Actin filaments	GO
WWOX	Cytosol	HPA;GO
PARP10	Cytosol	HPA;GO
NUDT2	Mitochondria	GO
CPNE2	Mitochondria	HPA
NEK1	Nucleoplasm	HPA
TSPAN9	Actin filaments	GO
RORA	Nucleoplasm	GO
RIOK1	Nucleoplasm	GO
CDK5RAP3	Centrosome	GO
CLCC1	Endoplasmic reticulum	HPA;GO
ALOX15B	Plasma membrane	HPA;GO
UBD	Nucleoli	HPA
P2RY4	Plasma membrane	GO
CNGB1	Primary cilium	GO
RCSD1	Actin filaments	GO
GRB2	Cytosol	HPA;GO
OPTN	Cytosol	HPA;GO
MARK2	Plasma membrane	HPA;GO
FPGT	Cytosol	GO
ASB12	Cytosol	GO
WDR36	Nucleoli	HPA
FAM162A	Mitochondria	HPA
POLR1G	Mitochondria	HPA
CENPJ	Cytosol	GO
C3orf62	Nucleoplasm	HPA
CTCFL	Nucleoplasm	HPA
MFAP3L	Plasma membrane	HPA;GO
RAMP1	Nuclear membrane	HPA
ABCF1	Cytosol	HPA;GO
GPX4	Nucleoplasm	HPA
PSMA3	Cytosol	GO
RASA1	Cytosol	HPA;GO
OTUD6B	Nucleoplasm	HPA
ATP5MJ	Mitochondria	HPA;GO
MCAM	Plasma membrane	HPA;GO
ZNF274	Centrosome	HPA
SOX8	Nucleoplasm	HPA
ACTR3	Actin filaments	GO
EXOC1	Plasma membrane	GO
GUCY2D	Endoplasmic reticulum	GO
MAK16	Nucleoli	HPA
FRMD1	Actin filaments	HPA
FAM163B	Plasma membrane	HPA
NBPF4	Nucleoplasm	HPA
SYT11	Plasma membrane	GO
CLEC16A	Golgi apparatus	GO
RAB44	Plasma membrane	GO
MMD2	Golgi apparatus	GO
GFOD1	Plasma membrane	HPA
ACTC1	Cytosol	GO
DICER1	Cytosol	HPA;GO
DMTF1	Nucleoplasm	HPA
NME3	Cytosol	GO
CPLANE2	Primary cilium	GO
PQBP1	Cytosol	HPA
RPL23	Plasma membrane	GO
MAML3	Nucleoplasm	HPA;GO
B3GALNT2	Endoplasmic reticulum	GO
ANKRD26	Golgi apparatus	HPA
BCL3	Nucleoplasm	HPA
CCPG1	Endoplasmic reticulum	HPA
PRKACB	Centrosome	GO
CBX5	Nucleoli	GO
SP140	Mitochondria	HPA
CHFR	Nucleoplasm	GO
ATM	Nucleoplasm	HPA;GO
NDUFA12	Cytosol	HPA
SLC43A1	Golgi apparatus	HPA
IFT57	Cytosol	HPA
IL23A	Cytosol	HPA
RGPD4	Nuclear membrane	HPA
SMIM20	Nucleoli	HPA
ADAT2	Golgi apparatus	HPA
KIF1C	Nucleoplasm	HPA
SPAG5	Centrosome	GO
KRTAP19-5	Cytosol	GO
LSR	Plasma membrane	HPA;GO
GPAT4	Endoplasmic reticulum	GO
CEP152	Cytosol	GO
AKT1	Microtubules	HPA
DEGS2	Nucleoli	HPA
RUSC1	Cytosol	HPA
INPPL1	Golgi apparatus	HPA
RPL4	Endoplasmic reticulum	HPA;GO
ZNF561	Nucleoplasm	HPA
CASP12	Endoplasmic reticulum	GO
SRP14	Cytosol	GO
GOPC	Golgi apparatus	HPA;GO
BPGM	Nucleoplasm	HPA
GIPC2	Cytosol	HPA
ZMYM1	Centrosome	HPA
TAF4	Nucleoplasm	HPA;GO
CLPP	Mitochondria	HPA;GO
PRKAG2	Cytosol	GO
PSMD7	Cytosol	GO
CNOT7	Cytosol	GO
PPM1H	Nucleoplasm	HPA
GDF11	Golgi apparatus	HPA
PACSIN3	Cytosol	HPA
DCTD	Cytosol	HPA;GO
RAB15	Centrosome	HPA
PCOLCE	Golgi apparatus	HPA
ILDR1	Plasma membrane	GO
LRRIQ4	Mitochondria	HPA
YWHAZ	Cytosol	GO
KLHDC3	Nucleoplasm	HPA;GO
PRKD2	Cytosol	HPA;GO
NHSL1	Nuclear membrane	HPA
PIGM	Endoplasmic reticulum	GO
AKAP3	Cytosol	HPA
SIPA1L2	Golgi apparatus	HPA
ATP5F1B	Mitochondria	HPA;GO
PURG	Plasma membrane	HPA
ALKBH2	Nucleoplasm	HPA;GO
RRS1	Nucleoplasm	GO
ESRRB	Nucleoplasm	HPA;GO
FLVCR2	Mitochondria	GO
CHDH	Nucleoli	HPA
CNOT2	Nucleoplasm	HPA
CYP2C18	Endoplasmic reticulum	GO
PSCA	Plasma membrane	HPA;GO
MAML1	Nucleoplasm	HPA;GO
NTAQ1	Nucleoplasm	HPA
ATP5F1C	Mitochondria	GO
FAM221A	Cytosol	HPA
RPS17	Nucleoli	HPA
TMX2	Cytosol	HPA
PDE12	Cytosol	GO
TP53BP2	Cytosol	HPA
UMOD	Golgi apparatus	GO
LMAN1	Endoplasmic reticulum	HPA;GO
PCDHA5	Nucleoplasm	HPA
SPTB	Cytosol	HPA;GO
RHBDF2	Endoplasmic reticulum	GO
TRRAP	Nucleoplasm	HPA;GO
SFPQ	Nucleoplasm	HPA;GO
NAXE	Mitochondria	GO
TMEM178A	Nucleoplasm	HPA
SLC6A8	Plasma membrane	GO
ERBB2	Plasma membrane	HPA;GO
ZBTB2	Cytosol	HPA
CDK5RAP3	Nucleoli	HPA;GO
DHRS4	Cytosol	GO
TMEM67	Endoplasmic reticulum	GO
