protein	location	source(s)
GPR183	Plasma membrane	HPA;GO
ZNF436	Cytosol	HPA
NCAPG2	Nucleoplasm	HPA;GO
GAGE12D	Cytosol	HPA
CPLANE1	Cytosol	HPA
GET4	Cytosol	HPA;GO
LZTR1	Cytosol	HPA
CHMP1A	Centrosome	HPA
FIRRM	Nucleoplasm	GO
LIG3	Mitochondria	GO
DNMBP	Golgi apparatus	HPA
NALF1	Plasma membrane	GO
BTG2	Nucleoplasm	HPA
KCNK10	Plasma membrane	GO
LAMA3	Endoplasmic reticulum	HPA
ADPRH	Nucleoplasm	HPA
TLR2	Plasma membrane	HPA;GO
TAOK2	Nucleoli	HPA
GARRE1	Nucleoplasm	HPA
MAP10	Microtubules	GO
KLHL6	Centrosome	HPA
MAPK7	Nucleoplasm	HPA;GO
KPNA4	Nucleoplasm	HPA;GO
HSF1	Cytosol	HPA;GO
SNRPE	Cytosol	GO
KCNN1	Plasma membrane	GO
GCGR	Plasma membrane	GO
SLX4	Nucleoplasm	HPA;GO
LIPJ	Plasma membrane	HPA
ITPRID2	Plasma membrane	HPA
POLR2C	Nucleoplasm	HPA;GO
WSB1	Mitochondria	HPA
H2AC19	Nucleoplasm	HPA
UGP2	Centrosome	HPA
CABCOCO1	Cytosol	HPA
ATXN7L3	Plasma membrane	HPA
TAS1R1	Plasma membrane	GO
ACSL4	Plasma membrane	GO
DIP2B	Endoplasmic reticulum	HPA
EIF2S3	Cytosol	GO
TMOD3	Cytosol	HPA
BRD3OS	Nucleoplasm	HPA
ZNF655	Nucleoplasm	HPA
OSER1	Nucleoplasm	HPA
ANK1	Cytosol	GO
GAGE12F	Plasma membrane	HPA
NUP205	Nuclear membrane	GO
PITX2	Nucleoplasm	HPA;GO
IFITM5	Plasma membrane	HPA;GO
TGFBR3	Plasma membrane	GO
SLC1A1	Plasma membrane	GO
CCDC61	Microtubules	GO
SCFD1	Golgi apparatus	GO
ANO8	Plasma membrane	GO
RCAN2	Nucleoplasm	HPA
MYT1	Nucleoplasm	HPA
PLIN4	Cytosol	HPA
PSEN2	Endoplasmic reticulum	GO
CEP135	Centrosome	GO
POLR1G	Nucleoli	HPA;GO
ADCY6	Plasma membrane	GO
TPP2	Nucleoplasm	HPA
EIF4E3	Cytosol	GO
SCOC	Golgi apparatus	HPA;GO
ECI2	Cytosol	GO
SMS	Nucleoplasm	HPA
